soil_moisture,temperature,time,air_temperature,air_humidity,pressure,status
54,22,21,19.52,55.04,101.5,1
12,20,104,19.49,55.17,101.5,0
34,26,62,19.47,55.3,101.51,1
7,44,93,19.54,54.2,101.51,0
50,38,92,19.61,53.09,101.51,0
4,26,6,19.67,51.91,101.51,1
15,34,82,19.74,50.72,101.5,1
45,30,85,19.8,49.54,101.5,1
47,4,2,19.91,47.7,101.5,0
19,41,0,20.02,45.86,101.5,1
63,44,75,20.1,44.76,101.5,1
88,34,71,20.19,43.67,101.49,1
39,20,82,20.3,42.56,101.49,1
65,43,93,20.41,41.44,101.49,0
50,27,4,20.41,41.58,101.48,1
39,22,80,20.41,41.71,101.48,1
18,33,74,20.61,40.34,101.48,1
66,43,64,20.81,38.96,101.48,1
68,25,3,20.93,37.33,101.48,1
20,36,74,21.06,35.69,101.48,1
40,17,70,21.18,34.06,101.47,1
2,34,101,21.3,32.42,101.47,0
22,35,109,21.35,31.07,101.46,0
1,19,56,21.4,29.72,101.46,1
5,23,4,21.44,28.38,101.46,1
10,28,75,21.49,27.03,101.45,1
25,13,50,21.56,26.62,101.44,1
20,45,83,21.62,26.22,101.43,1
40,29,98,21.66,25.72,101.42,0
26,13,71,21.69,25.21,101.41,1
71,6,88,21.48,25.8,101.4,0
37,21,22,21.28,26.39,101.4,1
76,12,51,21.3,25.53,101.39,0
44,24,82,21.32,24.67,101.38,1
24,8,38,21.28,24.32,101.38,0
70,6,90,21.24,23.96,101.37,0
32,23,84,21.2,23.81,101.36,0
44,24,77,21.16,23.66,101.36,1
4,45,32,21.13,23.5,101.35,1
63,40,89,21.09,23.35,101.35,1
49,29,4,21.1,23.09,101.35,1
26,32,73,21.11,22.84,101.34,1
58,32,91,21.12,22.58,101.34,0
45,0,87,21.13,22.32,101.34,0
37,7,76,20.94,22.58,101.34,1
16,44,93,20.76,22.83,101.34,0
75,2,96,20.56,23.4,101.34,0
82,16,33,20.36,23.97,101.34,0
72,28,92,20.15,24.54,101.33,0
53,1,32,19.95,25.11,101.33,0
13,24,17,19.71,26.29,101.34,0
41,18,86,19.47,27.47,101.34,1
53,2,64,19.32,27.99,101.34,0
76,14,58,19.18,28.51,101.34,0
9,36,96,19.21,28.64,101.34,0
66,1,106,19.24,28.77,101.34,0
12,16,94,19.17,29.56,101.34,0
29,10,50,19.1,30.36,101.33,1
37,34,2,19.02,31.01,101.33,1
8,28,10,18.93,31.66,101.33,1
55,1,37,18.74,31.96,101.33,1
9,1,101,18.55,32.25,101.33,0
41,27,63,18.63,31.86,101.33,1
31,8,43,18.71,31.47,101.33,1
80,38,12,18.87,30.63,101.34,0
7,27,107,19.03,29.79,101.34,0
